profileId,title,competencies,hasGrowWithSap,consultants,description
0000443466,CONSILIO GmbH,4,0,96,"The Forward Thinkers. 
The Process Optimizers. 
The Solution Managers."
0001058920,GyanSys,6,0,74,"
Enterprise Innovation. 
Powered by Knowledge.
"
0000735262,4process AG,5,0,52,4process AG - Optimierte Systeme
0001361632,FAIR Consulting Group Pty Ltd,1,0,52,"Putting The Trust Back In Consulting
"
0001204097,Ameri100,3,0,46,"One of the largest, pure-play SAP consultancies in North America. "
0001323502,Shanghai Thinkway Information Technology,3,0,44,"价值交付，成就客户。
More Value，Run Better."
0001192243,Sineti Consulting SC,3,1,30,SINETI conecta atención a clientes + operaciones +cadena de suministro
0001913393,MegazoneCloud,2,0,29,Megazone Cloud ; Cloud Innovator
0001023791,SQLI DIGITAL EXPERIENCE,1,0,29,We are SQLI! a European Digital Service Company
0002657296,STMS SOLUTIONS,1,0,18,STMS SOLUTIONS is a SAP Gold Partner and pure player SAP 
0001417859,diva-e,1,0,17,Ready for the evolution of experience?
0001150125,SEENOVATE,1,0,14,"Seenovate, l'autre regard sur la Data"
0001412693,Querplex GmbH,1,0,5,SAP Commerce integrations with focus on SmartEdit and CMS 
0000291210,Arvato Systems,3,0,140,Arvato Systems - Empowering Digital Leaders
0001576742,INNOVATESAPP S.R.L.,2,0,116,"Augmented Creativity
enabling your Path to Excellence"
0001115777,N&B Team Consulting,4,0,76,Excelencia Digital Certificada: Líderes en Servicios SAP
0002401849,KSE,2,0,63,"Especialistas de servicios en implementación, migración y soporte AMS"
0001596153,WYZE CONSULTING SERVICES LIMITED,2,0,57,SAP Africa Partner 2020; SAP ByDesign Partner for years 2019 & 2020
0001032964,Xiting AG,1,0,57,Your Expert For SAP security
0000695020,"ASPN CO.,LTD.",1,0,25,ASPN is a total IT outsourcing service company including SAP ERP.
0001147653,HCM ADVICE,1,0,25,"Implementation partner of SAP solutions for HXM (SF, SAP HCM, Concur) "
0001334962,Axity,2,0,24,Transformamos TI en valor para nuestros clientes.
0001411001,"BH Consulting Co., Ltd.",2,0,19,SAP Gold Partner ERP Consulting
0001734256,R2SAP,2,0,14,"Digital Supply Chain, soluções complexas necessárias ao seu negócio."
0001367670,HMI Consulting Limited,1,0,12,"Not just an IT vendor, but also an HR Management Expert in Hong Kong"
0001852640,"Beijing Qizhi Consulting Co., Ltd.",1,0,12,旗智咨询 SAP Successfactors implementation service partner.
0001111455,EFFIIS s.r.o.,1,0,10,Your partner on the way to innovation
0000485918,CGI,4,0,500,Insights you can act on 
0000273246,"Hitachi Systems, Ltd.",2,0,216,Hitachi Systems' SAP solutions are on the side of SME companies.
